X,SL_YN,Temp,Calls,Talk_Time
536,1,46.8,61475,1917
537,1,48.7,61578,1538
538,1,41.2,61707,1582
539,1,66.1,61850,1836
540,1,38,61898,1964
541,1,66.3,61900,1596
542,1,62.8,61935,1601
543,1,47.3,62241,495
544,0,71.2,62345,1568
545,0,27.4,63217,1731
546,0,53.8,63312,1540
547,1,39.4,63421,1459
548,1,18.2,63473,1738
549,1,55.9,63559,1816
550,1,51.5,64111,1632
551,0,31,64130,826
552,1,23.5,64238,1646
553,0,31,64256,1707
554,0,70.6,64588,864
555,0,54.3,65024,679
556,1,58.2,65066,1751
557,1,65.4,65133,1972
558,1,76,65237,2117
559,0,37,65456,1478
560,1,38.9,65635,1625
561,1,68.5,65784,1701
562,1,44.5,65937,1227
563,1,73.6,66072,1563
564,0,34.7,66752,621
565,1,55.1,66863,1543
566,1,56.1,67114,2091
567,1,42.9,67409,1926
568,1,43.4,67667,1521
569,1,44.3,68096,1753
570,0,70.8,68422,1640
571,1,33.5,68422,1462
572,0,47.4,68590,1838
573,0,13.8,68684,980
574,1,70.7,68712,1758
575,0,58.8,69261,2117
576,1,62.8,69939,1628
577,0,59.6,69965,700
578,1,46,70416,1985
579,0,42.3,70434,2087
580,1,50,70534,1506
581,1,50.9,70543,1945
582,0,31.5,70557,2355
583,1,34.8,70863,1879
584,0,40.7,70908,1568
585,0,64.2,70939,1497
586,0,42.7,70979,1329
587,0,36.8,71466,983
588,0,66.9,71843,1332
589,1,51.8,71983,1622
590,0,31.2,72001,1667
591,0,55.3,72439,1586
592,0,29.2,72988,1040
593,0,71.5,73303,1628
594,0,66.1,73404,1809
595,1,39.8,73415,1732
596,1,38,73887,1362
597,1,31.8,74040,1977
598,1,51,74078,2022
599,0,59.2,74084,522
600,0,36.6,75020,796
601,0,43.2,76488,1551
602,1,42.1,76652,824
603,0,19,76923,2306
604,1,13.8,77269,1943
605,0,19.5,77355,1890
606,1,36.4,77502,2050
607,1,65.4,77746,1922
608,0,25.1,77935,1908
609,1,43.2,78070,787
610,0,67,78937,1461
611,0,26.1,78966,1892
612,1,32.5,79345,1696
613,0,46.3,79701,1648
614,0,58,79780,1388
615,0,39,80075,1232
616,0,40,80856,1346
617,0,39.4,81140,611
618,0,23.1,81262,1692
619,0,12.1,81567,2355
620,0,64.3,82855,1447
621,1,58.2,83348,1641
622,0,25.5,83404,1727
623,1,54.9,83818,1363
624,0,76.4,83866,1624
625,0,72.4,85475,1800
626,0,31.2,85811,1779
627,0,36.7,86394,940
628,0,23.1,86659,1723
629,0,47,87536,869
630,0,37.7,88468,1765
631,1,25.5,88520,1013
632,0,51.6,88853,1582
633,0,68.9,89311,1697
634,0,65.5,89708,1791
635,0,69.4,89796,796
636,0,58.4,89974,1825
637,0,33.6,90344,934
638,0,53.1,90803,1199
639,0,36.5,91299,1519
640,0,60.8,91521,1432
641,0,29.4,92388,879
642,1,39.3,93001,1640
643,0,55.3,93018,1526
644,0,35.5,93512,1728
645,0,62.3,93519,1715
646,0,79.7,93732,767
647,0,19.4,93789,1786
648,0,32.9,94786,1825
649,0,27,94977,1122
650,0,72.8,95105,1675
651,0,26.9,95207,2074
652,0,32,96055,1595
653,0,78.1,96402,964
654,0,10.4,97170,2072
655,0,74.5,97814,1739
656,0,67.6,98309,1570
657,0,71.3,98310,762
658,0,50,98576,1992
659,1,51.9,98703,2012
660,0,43.9,98833,1727
661,0,51.1,99687,480
662,0,41.3,99709,1661
663,1,35,100484,1881
664,0,35.9,100862,1021
665,0,76.1,101564,792
666,0,57.5,101839,1174
667,0,32.6,101931,635
668,0,18.5,101981,1976
669,1,44,102174,1196
670,0,67,102230,1735
671,0,14.4,102947,1820
672,0,27.4,103072,2043
673,0,27,103228,931
674,0,52.2,103454,1794
675,0,41.6,103789,1689
676,0,42,105364,1798
677,0,60.4,105579,1517
678,0,67.4,106732,1593
679,1,20,107197,1729
680,0,23,107407,1843
681,0,22.1,108026,1772
682,0,73.6,108131,1829
683,0,20.2,108923,2115
684,0,30.7,108997,1081
685,0,56.4,109172,1759
686,0,60.4,109626,1631
687,0,42.5,111499,1579
688,0,34.5,112485,2039
689,0,60.7,112536,1369
690,0,60.1,112649,1874
691,1,16.5,113523,2031
692,0,61.5,113916,1487
693,0,35.8,114138,577
694,0,28.8,115770,896
695,0,27.9,116469,1851
696,0,19,116739,2042
697,0,15,116761,2277
698,0,25,117643,2021
699,0,73.6,117813,1869
700,0,59.8,118600,1859
701,0,46.2,118686,1046
702,0,69.5,118924,1808
703,0,29.3,119773,1812
704,0,67.3,120274,1549
705,0,39.6,120591,1988
706,0,49.9,121409,605
707,0,39,121741,1810
708,1,25.1,123392,1138
709,0,51.3,123880,1698
710,0,20.5,124189,2222
711,0,59.6,126013,1037
712,0,25.5,127750,1152
713,0,53.1,128009,1863
714,0,48.5,129107,1686
715,0,31.7,130506,1151
716,0,37.5,131158,1408
717,0,57.7,131382,1937
718,0,63.6,131514,1107
719,0,28.6,131589,2011
720,0,55.9,132937,1116
721,0,14.5,133567,2222
722,0,69.8,134402,1768
723,0,28.5,135202,2350
724,1,46.8,135921,2180
725,0,19.5,136302,2292
726,0,67.4,143755,1988
727,0,38.5,146348,1272
728,0,64.6,147232,938
729,0,27.7,149578,1986
730,0,23.9,151038,1589
731,0,22.9,152408,1968
732,0,30.6,154683,1919
733,0,16.8,156470,2071
734,0,28.4,158139,1171
735,0,26.7,160155,2359
736,0,32.8,168012,2169
737,0,24.3,169193,2233
738,0,18,170189,2650
739,0,25.7,171296,1874
740,0,32.5,171814,2377
741,0,21.9,172785,2318
742,0,24.2,173684,1535
743,1,30.5,176364,2238
744,0,24.1,176597,1969
745,0,12.1,177847,1846
746,0,26.1,179468,1778
747,0,32.5,179649,2129
748,0,24.3,180365,2370
749,0,13.5,180610,2605
750,0,73,181629,1348
751,0,24.9,182286,2360
752,0,25.9,189952,2354
753,0,28,190271,2376
754,0,31.5,190430,2466
755,0,31.6,194464,1983
756,1,28.8,196800,2109
757,0,13.5,204667,2579
758,0,35,209727,2600
759,0,25.8,214605,2321
760,0,21,218811,3035
761,0,11,229501,2899
762,0,27.3,239203,2366
